,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All examination entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subject Questions,,,,Character data,,,,,,,,,,,,Character questions,,,,,Reflection questions,,,,,Game stats,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No.,Gender,Knows experiment purpose,,No.,Has changed name,Character Name,Time spent on name (s),Sprite option amount,Visited heads (%),Visited bodies (%),Selected head,Selected body,Is matching set,Time spent on character (s),,No.,Initial character satisfaction,Option amount,Enjoyed customization,,No.,Entertainment value,Pleased with performance,Final character satisfaction,,No.,Shots fired,Shots hit,Shots missed,Accuracy (%),Kill count,1st attempt - Time alive (s),2nd attempt - Time alive (s)
,29,Male,FALSE,,29,TRUE,shakari,"3,02",15,"100,00%","100,00%",10,4,FALSE,"126,59",,29,Satisfied,I am happy with the amount of options I was given,TRUE,,29,5,Very unpleased,Satisfied,,29,312,88,224,"28,21%",21,"29,06","63,02"
,30,Male,TRUE,,30,TRUE,ObsidianRose,"12,92",5,"100,00%","100,00%",5,5,TRUE,"31,66",,30,Satisfied,I wanted more options,FALSE,,30,5,Unpleased,Satisfied,,30,331,115,216,"34,74%",29,"49,27","43,71"
,31,Male,TRUE,,31,TRUE,Dom the Awful,"12,27",60,"90,00%","100,00%",8,18,FALSE,"79,14",,31,Unsatisfied,I wanted less options,TRUE,,31,6,Very unpleased,Unsatisfied,,31,303,122,181,"40,26%",31,"41,92","68,41"
,32,Male,FALSE,,32,TRUE,ThaNexT,"7,20",2,"100,00%","100,00%",1,2,FALSE,"19,29",,32,Satisfied,I wanted more options,TRUE,,32,7,Unpleased,Satisfied,,32,542,163,379,"30,07%",38,"28,61","103,68"
,33,Male,TRUE,,33,TRUE,Gembito,"4,46",5,"100,00%","100,00%",4,4,TRUE,"19,59",,33,Satisfied,I wanted more options,TRUE,,33,7,Unpleased,Satisfied,,33,541,126,415,"23,29%",31,"75,22","38,06"
,34,Male,FALSE,,34,TRUE,Groot,"6,09",15,"80,00%","100,00%",8,8,TRUE,"51,24",,34,Satisfied,I wanted more options,FALSE,,34,5,Unpleased,Satisfied,,34,201,78,123,"38,81%",16,"52,76","16,96"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Median  ,"9,95",,"100,00%","100,00%",,,Median  ,"37,48",,,,,,,Median  ,7,,,,Median  ,"322,5",94,"222,5","29,28%","21,5","40,32","48,23"
,,,,,,,Average  ,"11,59",,"80,74%","77,79%",,,Average  ,"47,74",,,,,,,Average  ,"7,00",,,,Average  ,"344,18","101,62","242,56","30,00%","23,71","41,90","47,69"
,,,,,,,Standard deviation  ,"10,28",,"30,67%","33,62%",,,Standard deviation  ,"34,01",,,,,,,Standard deviation  ,"1,58",,,,Standard deviation  ,"141,59","48,41","109,53","7,55%","12,67","18,16","27,32"
